#
# Joint Pamir-Hindu Kush earthquake catalog for events deeper 50 km from Kufner et al., 2016
# obtained from the TIPAGE/FERGHANA/TIPTIMON networks 
# (Mechie et al., 2012/Feld et al., 2015/Schurr et al., 2012/13)
# between 2012-14 & 2008-10.
#
# Pamir events are mainly relocated from Sippl et al., 2013 (JGR)
# 
# See Kufner et. al. 2016 for details on location procedure 
# - "absError(km)" -- absolute location error (value refers to the radius of a sphere with the same volume as the error ellipsoide calculated in NonLinLoc)  
# - "AveragedRelativeError (km)" -- averaged relative location error from the double difference scheme. "-" if only single event location exists. 
# - the separation in "deepPamir" and "deepHinduKush" events is mainly due to the different dip angles of the seismic domains beneath Pamir and Hindu Kush
#   
# longitude(deg) latitude(deg) depth(km) local_magnitude absError(km) AveragedRelativeError(km) area(deepPamir/deepHinduKush)
71.128 36.989 61.08 2.3 1.9 - deepPamir
72.485 37.209 61.22 2.7 2.8 - deepPamir
71.075 36.728 61.41 4.2 5.3 1.9 deepPamir
70.891 36.864 61.70 3.1 1.7 1.9 deepPamir
71.964 37.231 61.70 2.5 4.0 - deepPamir
71.158 36.653 61.71 3.2 2.6 1.9 deepPamir
71.008 36.781 61.96 4.6 1.4 1.9 deepPamir
71.254 36.483 61.98 2.9 5.3 1.9 deepHinduKush
70.943 36.882 62.05 3.3 1.6 1.9 deepPamir
71.300 36.496 62.15 2.6 5.3 1.9 deepHinduKush
70.942 36.879 62.20 3.0 2.9 1.9 deepPamir
71.019 36.648 62.20 2.9 2.8 1.9 deepPamir
70.910 36.878 62.24 2.3 2.1 1.9 deepPamir
72.479 37.170 62.25 2.4 6.7 - deepPamir
71.144 36.997 62.36 4.3 2.4 1.9 deepPamir
73.203 36.599 62.41 3.3 7.4 - deepPamir
70.965 36.905 62.42 2.8 2.3 1.9 deepPamir
71.066 36.769 62.42 2.5 2.1 1.9 deepPamir
71.976 37.504 62.50 2.5 20.9 - deepPamir
71.289 36.518 62.71 3.0 3.4 1.9 deepHinduKush
70.784 36.812 63.06 4.0 1.7 1.9 deepPamir
73.327 37.739 63.18 2.1 2.6 - deepPamir
70.937 36.850 63.43 3.4 4.1 1.9 deepPamir
74.986 39.469 63.46 2.4 6.1 - deepPamir
71.150 36.676 63.50 4.6 5.7 - deepPamir
70.969 36.852 63.64 3.2 3.6 - deepPamir
70.909 36.938 63.79 3.4 2.3 - deepPamir
71.160 36.405 63.80 3.5 9.0 - deepHinduKush
