#
# Joint Pamir-Hindu Kush earthquake catalog for events deeper 50 km from Kufner et al., 2016
# obtained from the TIPAGE/FERGHANA/TIPTIMON networks 
# (Mechie et al., 2012/Feld et al., 2015/Schurr et al., 2012/13)
# between 2012-14 & 2008-10.
#
# Pamir events are mainly relocated from Sippl et al., 2013 (JGR)
# 
# See Kufner et. al. 2016 for details on location procedure 
# - "absError(km)" -- absolute location error (value refers to the radius of a sphere with the same volume as the error ellipsoide calculated in NonLinLoc)  
# - "AveragedRelativeError (km)" -- averaged relative location error from the double difference scheme. "-" if only single event location exists. 
# - the separation in "deepPamir" and "deepHinduKush" events is mainly due to the different dip angles of the seismic domains beneath Pamir and Hindu Kush
#   
# longitude(deg) latitude(deg) depth(km) local_magnitude absError(km) AveragedRelativeError(km) area(deepPamir/deepHinduKush)
71.116 36.451 108.59 3.2 8.2 1.9 deepHinduKush
71.622 37.348 108.64 3.1 4.5 1.9 deepPamir
69.311 36.107 108.76 3.4 3.7 1.9 deepHinduKush
71.034 36.343 108.79 3.5 8.7 1.9 deepHinduKush
71.125 36.346 108.81 3.3 3.5 1.9 deepHinduKush
70.345 36.202 108.82 2.4 5.5 - deepHinduKush
72.259 37.623 108.83 2.4 9.3 - deepPamir
71.338 36.458 108.85 2.8 5.6 1.9 deepHinduKush
71.634 37.046 108.86 2.8 4.4 1.9 deepPamir
72.242 37.818 108.87 3.4 2.8 1.9 deepPamir
70.824 36.465 108.88 3.5 2.7 1.9 deepHinduKush
72.496 37.988 108.97 4.6 2.3 1.9 deepPamir
71.541 36.661 108.99 2.6 3.0 - deepHinduKush
70.896 36.491 109.03 2.9 3.5 1.9 deepHinduKush
75.210 38.360 109.03 2.2 6.9 - deepPamir
70.519 36.235 109.19 2.7 7.1 1.9 deepHinduKush
71.003 36.374 109.19 3.7 2.4 1.9 deepHinduKush
71.211 36.561 109.19 2.4 4.0 1.9 deepHinduKush
70.311 35.994 109.24 2.6 5.3 1.9 deepHinduKush
70.581 35.946 109.24 4.4 7.5 - deepHinduKush
72.195 37.795 109.28 2.4 4.2 1.9 deepPamir
71.343 36.283 109.32 2.5 5.5 - deepHinduKush
71.696 37.416 109.33 5.0 3.0 1.9 deepPamir
71.558 36.943 109.38 3.6 3.1 1.9 deepPamir
72.192 37.722 109.39 2.6 3.8 1.9 deepPamir
70.261 36.153 109.42 2.5 5.0 1.9 deepHinduKush
69.873 36.324 109.43 3.8 2.7 1.9 deepHinduKush
70.226 36.131 109.44 3.3 4.0 1.9 deepHinduKush
71.869 37.398 109.44 2.3 3.4 1.9 deepPamir
72.194 37.654 109.46 2.5 3.5 1.9 deepPamir
71.857 37.486 109.49 3.0 2.4 1.9 deepPamir
71.988 37.262 109.50 2.2 6.8 - deepPamir
73.016 38.303 109.53 2.4 2.8 1.9 deepPamir
73.923 38.524 109.53 4.5 2.9 1.9 deepPamir
69.874 36.202 109.58 3.2 3.7 - deepHinduKush
71.012 36.503 109.58 2.3 6.0 1.9 deepHinduKush
71.586 37.243 109.59 3.0 3.7 1.9 deepPamir
70.911 36.445 109.61 2.9 3.4 1.9 deepHinduKush
71.137 36.331 109.63 4.6 4.1 - deepHinduKush
70.736 36.315 109.64 2.9 5.6 1.9 deepHinduKush
71.709 37.146 109.64 2.9 3.2 1.9 deepPamir
72.450 38.024 109.64 2.3 3.8 1.9 deepPamir
71.189 36.319 109.67 3.0 6.5 1.9 deepHinduKush
72.354 38.040 109.68 3.7 3.7 - deepPamir
73.022 38.200 109.68 2.2 4.3 1.9 deepPamir
72.892 38.132 109.70 2.5 2.6 1.9 deepPamir
73.506 38.408 109.71 2.9 3.0 1.9 deepPamir
70.946 36.376 109.73 3.0 5.8 1.9 deepHinduKush
71.953 37.215 109.80 2.2 5.4 - deepPamir
72.597 37.888 109.84 2.3 2.9 - deepPamir
70.794 36.415 109.87 3.4 2.8 1.9 deepHinduKush
71.254 36.374 109.87 3.8 5.2 1.9 deepHinduKush
70.105 36.330 109.96 2.4 3.9 - deepHinduKush
73.376 38.728 109.96 2.4 4.9 - deepPamir
70.988 36.312 109.99 2.6 5.1 1.9 deepHinduKush
71.391 36.888 109.99 3.1 3.6 - deepPamir
71.926 37.194 110.01 2.6 7.5 - deepPamir
71.597 37.211 110.02 3.3 3.5 1.9 deepPamir
71.842 37.555 110.15 3.2 2.1 1.9 deepPamir
71.589 37.006 110.19 2.6 3.3 1.9 deepPamir
71.137 36.403 110.20 3.2 7.1 1.9 deepHinduKush
71.215 36.507 110.21 3.4 3.5 1.9 deepHinduKush
71.028 36.437 110.22 2.3 5.1 1.9 deepHinduKush
71.613 37.254 110.23 2.9 3.5 1.9 deepPamir
72.152 37.724 110.26 2.2 4.1 1.9 deepPamir
71.591 37.212 110.27 3.5 5.2 1.9 deepPamir
71.623 37.219 110.30 4.8 2.9 1.9 deepPamir
71.658 37.241 110.33 3.3 2.7 1.9 deepPamir
70.829 36.321 110.41 5.3 3.6 1.9 deepHinduKush
70.289 36.199 110.42 4.4 2.6 1.9 deepHinduKush
70.383 36.130 110.42 3.5 3.2 1.9 deepHinduKush
70.338 36.124 110.46 3.0 2.9 1.9 deepHinduKush
72.119 37.760 110.46 2.1 9.7 1.9 deepPamir
71.849 37.517 110.47 2.9 2.7 1.9 deepPamir
70.840 36.072 110.55 2.6 7.1 - deepHinduKush
73.464 38.433 110.55 3.3 2.5 1.9 deepPamir
72.243 37.743 110.57 2.2 5.1 1.9 deepPamir
72.254 37.907 110.57 2.6 3.0 - deepPamir
72.978 38.318 110.57 2.3 3.8 1.9 deepPamir
69.320 36.112 110.59 3.4 5.3 1.9 deepHinduKush
73.817 38.460 110.60 4.1 1.9 1.9 deepPamir
71.635 37.267 110.63 3.3 3.2 1.9 deepPamir
71.889 37.483 110.64 2.6 4.0 1.9 deepPamir
70.954 36.213 110.70 2.3 6.8 1.9 deepHinduKush
71.019 36.374 110.70 4.1 2.3 1.9 deepHinduKush
71.005 36.506 110.76 3.0 4.5 1.9 deepHinduKush
71.510 36.952 110.77 3.5 3.9 1.9 deepPamir
71.054 36.376 110.78 3.9 2.7 1.9 deepHinduKush
71.251 36.520 110.78 3.8 4.5 1.9 deepHinduKush
71.118 36.386 110.80 3.2 3.8 1.9 deepHinduKush
73.698 38.438 110.80 2.2 6.1 - deepPamir
68.893 36.053 110.83 3.5 6.2 1.9 deepHinduKush
73.368 38.438 110.84 2.4 3.4 1.9 deepPamir
72.079 37.604 110.86 2.5 4.0 1.9 deepPamir
71.169 36.444 110.89 3.5 3.3 1.9 deepHinduKush
71.919 37.582 110.91 3.8 2.8 1.9 deepPamir
71.031 36.431 110.92 2.8 7.5 - deepHinduKush
71.872 37.397 110.98 2.3 3.3 1.9 deepPamir
69.740 36.107 111.01 2.9 3.7 1.9 deepHinduKush
70.934 36.443 111.02 3.0 2.5 1.9 deepHinduKush
71.761 37.392 111.02 4.0 3.0 1.9 deepPamir
73.181 38.245 111.02 2.2 5.9 1.9 deepPamir
71.643 37.050 111.08 2.4 4.5 1.9 deepPamir
71.606 37.317 111.14 2.7 3.0 1.9 deepPamir
72.073 37.703 111.14 2.6 5.1 1.9 deepPamir
70.934 36.256 111.28 2.5 10.3 1.9 deepHinduKush
71.729 37.398 111.30 2.5 3.3 1.9 deepPamir
71.842 37.359 111.30 3.5 2.6 1.9 deepPamir
71.778 37.421 111.35 2.6 5.1 1.9 deepPamir
71.670 37.178 111.36 3.0 4.1 1.9 deepPamir
69.027 35.822 111.42 3.6 16.3 - deepHinduKush
72.015 37.557 111.47 2.7 4.3 1.9 deepPamir
71.865 37.544 111.51 3.1 2.6 1.9 deepPamir
72.240 37.749 111.52 2.2 5.9 1.9 deepPamir
72.991 38.300 111.52 3.7 2.1 1.9 deepPamir
70.205 36.082 111.53 3.1 5.6 1.9 deepHinduKush
72.450 37.887 111.57 2.4 8.4 1.9 deepPamir
70.614 36.430 111.58 3.1 4.0 - deepHinduKush
71.673 37.172 111.59 3.7 2.5 1.9 deepPamir
72.058 37.620 111.59 2.3 3.4 1.9 deepPamir
72.976 38.312 111.59 2.5 2.8 1.9 deepPamir
71.627 37.038 111.62 2.5 3.9 1.9 deepPamir
72.166 37.608 111.62 2.7 7.0 - deepPamir
71.586 36.925 111.64 3.2 3.2 1.9 deepPamir
71.673 37.232 111.64 3.2 3.3 1.9 deepPamir
72.242 37.985 111.65 3.0 3.9 - deepPamir
71.662 37.225 111.69 2.8 4.2 1.9 deepPamir
71.847 37.508 111.71 3.2 3.0 1.9 deepPamir
71.803 37.369 111.74 2.9 4.6 1.9 deepPamir
71.254 36.533 111.77 3.1 3.4 1.9 deepHinduKush
75.030 38.254 111.77 2.0 8.3 - deepPamir
71.653 37.225 111.80 2.8 2.8 1.9 deepPamir
71.654 37.332 111.82 3.1 2.8 1.9 deepPamir
71.085 36.483 111.83 3.2 3.3 1.9 deepHinduKush
71.819 37.523 111.83 3.3 2.5 1.9 deepPamir
71.621 37.227 111.88 2.7 5.5 1.9 deepPamir
71.447 36.488 111.89 2.4 4.5 1.9 deepHinduKush
71.741 37.333 111.89 2.3 3.2 1.9 deepPamir
73.532 38.419 111.92 2.1 6.1 1.9 deepPamir
71.626 37.317 111.94 3.0 2.3 1.9 deepPamir
71.128 36.480 111.95 3.0 3.3 1.9 deepHinduKush
71.760 37.441 112.00 4.1 2.1 1.9 deepPamir
71.588 37.169 112.01 2.7 3.0 1.9 deepPamir
71.644 37.142 112.03 2.2 6.7 - deepPamir
74.845 37.426 112.04 4.0 17.0 - deepPamir
71.612 37.247 112.06 4.0 3.6 1.9 deepPamir
72.038 37.353 112.06 2.4 6.4 - deepPamir
71.268 36.385 112.09 2.9 4.0 1.9 deepHinduKush
69.950 36.432 112.12 3.3 5.5 - deepHinduKush
71.105 36.507 112.12 2.6 5.9 1.9 deepHinduKush
69.911 36.169 112.13 2.1 6.2 - deepHinduKush
73.548 38.417 112.19 2.6 4.3 1.9 deepPamir
71.572 36.931 112.21 3.2 6.1 1.9 deepPamir
72.091 37.550 112.21 2.7 3.8 1.9 deepPamir
72.075 37.697 112.23 3.3 2.7 1.9 deepPamir
71.200 36.530 112.24 3.2 3.4 1.9 deepHinduKush
71.613 37.035 112.24 2.6 4.2 1.9 deepPamir
72.110 37.678 112.25 3.8 2.1 1.9 deepPamir
70.258 36.213 112.29 2.9 3.1 1.9 deepHinduKush
70.815 36.422 112.31 3.0 4.7 1.9 deepHinduKush
72.959 38.315 112.31 3.0 2.1 1.9 deepPamir
71.560 37.178 112.33 4.2 3.6 1.9 deepPamir
72.468 37.986 112.34 3.7 2.2 1.9 deepPamir
71.027 36.427 112.37 4.0 2.5 1.9 deepHinduKush
72.147 37.779 112.40 3.1 5.9 1.9 deepPamir
70.966 36.355 112.42 3.1 6.4 1.9 deepHinduKush
71.670 37.187 112.44 2.3 3.7 1.9 deepPamir
68.930 36.156 112.49 3.0 6.9 1.9 deepHinduKush
74.151 38.391 112.51 2.6 4.0 - deepPamir
72.932 38.165 112.61 2.1 3.0 1.9 deepPamir
69.672 35.963 112.63 3.1 4.0 - deepHinduKush
71.128 36.388 112.63 3.9 4.1 1.9 deepHinduKush
72.027 37.506 112.63 2.7 2.8 1.9 deepPamir
71.366 36.316 112.64 3.0 7.0 1.9 deepHinduKush
71.663 37.225 112.64 2.9 3.8 1.9 deepPamir
71.504 36.553 112.66 4.1 5.3 - deepHinduKush
71.617 37.242 112.67 3.8 2.5 1.9 deepPamir
73.900 38.485 112.68 2.5 3.0 1.9 deepPamir
73.388 38.457 112.70 3.9 2.2 1.9 deepPamir
71.605 37.194 112.71 2.8 4.5 1.9 deepPamir
70.388 35.933 112.77 4.0 6.9 - deepHinduKush
71.863 37.508 112.79 3.3 2.2 1.9 deepPamir
71.765 37.448 112.80 4.4 2.1 1.9 deepPamir
71.844 37.506 112.80 2.5 3.0 1.9 deepPamir
72.147 37.583 112.81 2.3 5.6 1.9 deepPamir
72.056 37.568 112.83 2.1 5.3 1.9 deepPamir
72.063 37.680 112.85 4.2 1.9 1.9 deepPamir
71.632 37.402 112.86 2.8 4.7 1.9 deepPamir
71.648 37.290 112.88 4.1 2.7 1.9 deepPamir
72.524 38.023 112.88 3.5 6.7 1.9 deepPamir
71.666 37.310 112.90 3.7 2.8 1.9 deepPamir
73.609 38.453 112.90 3.9 3.0 1.9 deepPamir
71.854 37.513 112.91 3.0 3.1 1.9 deepPamir
71.068 36.364 112.92 3.3 2.8 1.9 deepHinduKush
71.753 37.199 112.93 3.0 3.1 1.9 deepPamir
71.760 37.449 112.93 4.7 2.6 1.9 deepPamir
73.430 38.464 112.93 3.9 1.8 1.9 deepPamir
71.092 36.470 112.96 3.0 4.8 1.9 deepHinduKush
71.567 37.194 113.00 3.2 3.7 - deepPamir
71.609 37.285 113.01 2.8 3.5 1.9 deepPamir
71.633 37.237 113.02 3.3 3.2 1.9 deepPamir
71.914 37.502 113.05 2.3 5.8 1.9 deepPamir
72.117 37.712 113.08 2.9 3.5 1.9 deepPamir
74.236 38.408 113.08 3.1 2.2 - deepPamir
71.355 36.556 113.09 2.8 6.4 1.9 deepHinduKush
71.858 37.539 113.17 3.6 3.0 1.9 deepPamir
71.915 37.584 113.19 3.9 2.3 1.9 deepPamir
71.665 37.231 113.26 2.6 5.5 1.9 deepPamir
71.807 37.340 113.26 4.4 2.5 1.9 deepPamir
72.217 37.815 113.26 3.8 1.8 1.9 deepPamir
71.783 37.341 113.28 2.4 5.2 1.9 deepPamir
69.567 36.262 113.29 3.8 2.9 - deepHinduKush
74.039 38.468 113.30 3.9 2.4 - deepPamir
71.667 37.245 113.32 2.9 4.1 1.9 deepPamir
71.749 37.297 113.32 2.4 3.8 1.9 deepPamir
71.364 37.147 113.33 2.9 5.0 - deepHinduKush
72.411 37.869 113.34 2.5 3.0 1.9 deepPamir
71.648 37.067 113.35 2.7 3.9 1.9 deepPamir
73.409 38.440 113.36 4.1 2.2 1.9 deepPamir
71.790 37.165 113.40 2.7 11.1 - deepPamir
71.649 37.297 113.45 3.1 3.1 1.9 deepPamir
72.230 37.733 113.45 2.7 2.5 1.9 deepPamir
71.541 36.848 113.47 3.3 3.4 1.9 deepPamir
71.274 36.439 113.49 3.3 8.5 1.9 deepHinduKush
72.786 38.168 113.51 3.9 11.4 - deepPamir
70.100 35.990 113.54 4.6 6.3 - deepHinduKush
71.048 36.420 113.54 2.9 7.3 1.9 deepHinduKush
71.642 37.252 113.54 3.6 3.1 1.9 deepPamir
71.408 36.461 113.59 2.6 4.2 1.9 deepHinduKush
69.374 36.166 113.60 3.7 3.4 1.9 deepHinduKush
71.280 36.343 113.60 3.1 3.7 1.9 deepHinduKush
72.530 37.813 113.68 2.8 2.4 1.9 deepPamir
72.210 37.674 113.69 2.9 4.5 1.9 deepPamir
71.758 37.411 113.70 3.2 2.6 1.9 deepPamir
73.924 38.404 113.73 2.7 3.2 1.9 deepPamir
70.893 36.412 113.77 3.8 4.8 1.9 deepHinduKush
71.656 37.307 113.78 3.9 2.9 1.9 deepPamir
71.209 36.581 113.83 3.1 3.4 1.9 deepHinduKush
74.470 38.362 113.86 2.5 4.3 - deepPamir
71.703 37.242 113.87 2.4 3.7 1.9 deepPamir
70.536 36.165 113.88 4.3 7.6 1.9 deepHinduKush
71.613 37.121 113.92 4.4 2.3 1.9 deepPamir
71.683 37.311 113.92 2.6 3.7 1.9 deepPamir
72.544 38.038 113.92 3.7 5.0 1.9 deepPamir
73.438 38.456 113.96 3.8 2.0 1.9 deepPamir
72.809 38.134 114.00 2.8 3.1 - deepPamir
73.400 38.420 114.04 2.5 5.1 1.9 deepPamir
71.882 37.521 114.06 3.3 3.1 1.9 deepPamir
71.689 37.227 114.07 3.1 5.0 1.9 deepPamir
71.569 36.932 114.08 2.6 3.4 1.9 deepPamir
72.110 37.755 114.08 3.5 3.3 1.9 deepPamir
71.110 36.555 114.10 2.6 4.0 1.9 deepHinduKush
71.583 36.973 114.11 3.2 4.8 1.9 deepPamir
71.742 37.171 114.11 2.7 7.4 1.9 deepPamir
75.523 37.904 114.11 3.6 7.7 - deepPamir
71.946 37.583 114.14 3.3 3.5 1.9 deepPamir
70.818 36.330 114.15 4.0 6.8 1.9 deepHinduKush
71.449 36.186 114.17 2.7 6.9 - deepHinduKush
71.617 37.219 114.17 3.1 3.2 1.9 deepPamir
71.177 36.512 114.19 3.2 4.1 1.9 deepHinduKush
70.034 36.107 114.20 4.2 3.9 - deepHinduKush
71.055 36.224 114.22 3.3 5.4 1.9 deepHinduKush
71.212 36.529 114.26 2.9 10.2 1.9 deepHinduKush
71.070 36.360 114.28 3.4 2.8 1.9 deepHinduKush
71.284 36.329 114.29 4.0 4.8 1.9 deepHinduKush
71.982 37.599 114.30 3.0 4.4 1.9 deepPamir
71.993 37.480 114.31 2.7 4.2 1.9 deepPamir
72.141 37.726 114.31 3.1 2.3 1.9 deepPamir
71.688 37.276 114.36 3.3 2.7 1.9 deepPamir
73.435 38.436 114.36 3.5 2.5 1.9 deepPamir
70.690 36.324 114.39 3.1 6.4 1.9 deepHinduKush
71.709 37.166 114.39 3.2 3.0 1.9 deepPamir
70.224 36.035 114.41 3.8 4.8 1.9 deepHinduKush
70.901 36.289 114.42 2.7 3.7 1.9 deepHinduKush
73.047 38.405 114.45 2.0 3.3 - deepPamir
72.083 37.752 114.47 2.7 6.4 1.9 deepPamir
71.725 37.198 114.48 3.0 5.7 1.9 deepPamir
71.256 36.429 114.49 3.3 4.0 1.9 deepHinduKush
70.884 36.411 114.52 4.6 5.4 1.9 deepHinduKush
71.045 36.110 114.53 3.0 7.6 - deepHinduKush
71.634 37.238 114.54 3.4 2.6 1.9 deepPamir
71.498 37.068 114.55 3.9 6.1 - deepHinduKush
72.382 37.841 114.55 2.5 4.4 1.9 deepPamir
71.915 37.478 114.56 2.8 3.2 1.9 deepPamir
70.987 36.302 114.57 2.8 7.4 1.9 deepHinduKush
72.025 37.626 114.58 3.3 2.1 1.9 deepPamir
72.126 37.766 114.60 2.7 3.7 1.9 deepPamir
71.667 37.067 114.62 2.5 3.9 1.9 deepPamir
72.011 37.530 114.63 2.7 4.3 1.9 deepPamir
72.274 37.736 114.66 3.6 1.9 1.9 deepPamir
73.431 38.419 114.73 2.6 2.6 1.9 deepPamir
73.615 38.423 114.73 1.9 5.2 - deepPamir
71.579 36.834 114.75 3.5 3.3 1.9 deepPamir
73.264 38.332 114.79 2.5 4.8 1.9 deepPamir
71.099 36.455 114.85 2.7 11.1 1.9 deepHinduKush
71.648 37.286 114.85 2.6 3.7 1.9 deepPamir
71.931 37.559 114.85 2.9 2.2 1.9 deepPamir
69.122 36.183 114.88 2.3 8.0 - deepHinduKush
71.636 37.027 114.94 3.7 4.2 1.9 deepPamir
71.919 37.453 114.97 2.6 2.7 1.9 deepPamir
69.373 36.227 114.99 2.3 9.7 - deepHinduKush
72.176 37.740 115.00 3.0 4.9 1.9 deepPamir
69.138 36.198 115.01 3.2 10.3 - deepHinduKush
71.694 37.172 115.04 4.1 3.1 1.9 deepPamir
71.640 37.067 115.08 2.7 4.9 1.9 deepPamir
71.776 37.302 115.09 2.8 4.8 1.9 deepPamir
73.016 38.243 115.10 3.0 2.8 1.9 deepPamir
72.441 37.806 115.12 3.1 2.0 1.9 deepPamir
72.164 37.738 115.17 3.4 1.9 1.9 deepPamir
68.918 36.075 115.22 3.1 8.8 - deepHinduKush
71.179 36.111 115.23 2.8 5.1 - deepHinduKush
71.653 37.240 115.27 4.0 2.6 1.9 deepPamir
71.887 37.557 115.28 3.2 3.3 1.9 deepPamir
75.278 37.946 115.29 3.3 9.4 - deepPamir
71.883 37.525 115.34 3.1 2.4 1.9 deepPamir
75.819 37.860 115.38 2.6 6.8 - deepPamir
71.091 36.393 115.41 3.1 3.6 1.9 deepHinduKush
72.436 37.943 115.42 2.5 6.6 1.9 deepPamir
71.744 37.273 115.44 2.6 4.8 1.9 deepPamir
71.675 37.253 115.45 3.5 4.8 1.9 deepPamir
71.192 36.300 115.53 3.4 9.3 1.9 deepHinduKush
72.047 37.636 115.54 3.4 5.0 1.9 deepPamir
72.257 37.763 115.61 2.7 5.8 1.9 deepPamir
71.219 36.853 115.64 3.1 10.2 - deepHinduKush
70.654 36.353 115.70 3.2 3.4 1.9 deepHinduKush
72.105 37.495 115.75 2.2 9.1 1.9 deepPamir
72.412 37.885 115.76 2.3 11.4 1.9 deepPamir
71.917 37.557 115.77 2.5 3.1 1.9 deepPamir
72.121 37.681 115.81 3.8 3.1 1.9 deepPamir
71.684 37.221 115.82 3.1 3.0 1.9 deepPamir
72.065 37.536 115.88 2.5 4.1 1.9 deepPamir
72.134 37.653 115.91 2.4 4.8 1.9 deepPamir
71.670 37.182 115.92 2.3 4.6 1.9 deepPamir
71.790 37.453 115.92 3.4 3.1 1.9 deepPamir
70.671 36.497 115.94 2.6 15.7 - deepHinduKush
69.375 36.033 116.05 3.2 5.9 - deepHinduKush
70.549 36.308 116.06 2.5 15.0 1.9 deepHinduKush
71.679 37.274 116.06 3.0 3.8 1.9 deepPamir
71.930 37.566 116.09 2.2 6.9 1.9 deepPamir
72.057 37.647 116.11 3.2 5.3 1.9 deepPamir
72.134 37.725 116.13 2.7 3.6 1.9 deepPamir
71.019 36.306 116.14 2.5 5.7 1.9 deepHinduKush
72.058 37.705 116.15 2.2 2.9 1.9 deepPamir
71.815 37.081 116.17 2.8 7.5 - deepPamir
72.393 37.809 116.17 2.6 2.5 1.9 deepPamir
71.239 36.604 116.18 2.9 3.5 1.9 deepHinduKush
71.023 36.481 116.22 3.4 2.8 1.9 deepHinduKush
73.711 38.418 116.22 2.5 5.4 1.9 deepPamir
70.426 36.093 116.24 2.3 9.9 - deepHinduKush
69.665 36.062 116.27 2.6 10.8 - deepHinduKush
71.653 37.056 116.28 3.2 3.3 1.9 deepPamir
71.829 37.477 116.31 3.5 1.9 1.9 deepPamir
73.167 38.247 116.31 2.6 6.4 1.9 deepPamir
71.776 37.366 116.32 2.9 5.3 1.9 deepPamir
69.380 36.218 116.33 2.8 15.0 1.9 deepHinduKush
75.741 38.251 116.33 2.1 6.2 1.9 deepPamir
69.456 36.163 116.34 3.0 4.4 1.9 deepHinduKush
71.655 37.205 116.36 3.5 2.7 1.9 deepPamir
71.107 36.563 116.38 2.2 5.0 1.9 deepHinduKush
71.873 37.500 116.38 2.9 3.4 1.9 deepPamir
72.365 37.827 116.39 2.5 2.7 1.9 deepPamir
71.676 37.359 116.43 2.7 3.2 1.9 deepPamir
70.796 36.391 116.45 5.1 2.5 1.9 deepHinduKush
71.651 37.221 116.45 3.9 2.9 1.9 deepPamir
72.482 37.811 116.45 2.4 4.4 1.9 deepPamir
74.386 38.372 116.45 2.6 5.5 - deepPamir
71.438 36.228 116.46 3.1 7.8 - deepHinduKush
71.829 37.347 116.47 2.7 2.8 1.9 deepPamir
71.050 36.381 116.50 3.9 5.3 1.9 deepHinduKush
72.062 37.623 116.50 2.7 5.9 1.9 deepPamir
72.059 37.560 116.55 2.7 3.9 - deepPamir
72.173 37.705 116.60 3.2 4.7 1.9 deepPamir
71.315 36.469 116.61 3.8 3.0 1.9 deepHinduKush
71.727 37.297 116.61 2.5 4.2 1.9 deepPamir
71.940 37.553 116.63 2.6 3.7 1.9 deepPamir
71.064 36.618 116.67 3.7 2.8 1.9 deepHinduKush
72.952 38.114 116.67 2.4 3.9 - deepPamir
69.653 36.068 116.69 2.2 8.1 - deepHinduKush
71.606 37.133 116.70 2.7 5.9 1.9 deepPamir
71.114 36.378 116.71 3.3 4.0 1.9 deepHinduKush
71.097 36.479 116.75 3.0 4.8 1.9 deepHinduKush
72.348 37.888 116.75 4.5 5.9 1.9 deepPamir
71.634 37.201 116.77 3.8 3.8 1.9 deepPamir
70.743 36.165 116.85 2.8 6.1 - deepHinduKush
73.174 38.250 116.89 2.4 4.4 1.9 deepPamir
70.517 36.422 116.90 2.7 8.1 1.9 deepHinduKush
72.536 37.869 116.92 2.8 4.2 1.9 deepPamir
73.310 38.449 116.92 3.5 11.6 - deepPamir
71.933 37.575 116.97 3.0 7.2 1.9 deepPamir
72.177 37.718 117.01 3.6 3.7 1.9 deepPamir
71.706 37.240 117.04 2.8 3.2 1.9 deepPamir
71.120 36.443 117.05 3.0 4.1 1.9 deepHinduKush
71.927 37.557 117.07 3.8 2.8 1.9 deepPamir
70.793 36.427 117.08 3.2 2.7 1.9 deepHinduKush
71.038 36.240 117.08 3.2 4.4 1.9 deepHinduKush
71.088 36.503 117.10 3.5 7.9 1.9 deepHinduKush
73.222 38.267 117.11 2.5 5.9 1.9 deepPamir
72.120 37.779 117.16 3.4 5.2 1.9 deepPamir
73.762 38.212 117.16 2.7 8.5 - deepPamir
71.181 36.530 117.22 3.3 4.9 1.9 deepHinduKush
71.088 36.187 117.26 4.0 4.9 1.9 deepHinduKush
71.999 37.502 117.29 3.2 2.4 1.9 deepPamir
68.941 36.086 117.32 2.9 4.7 1.9 deepHinduKush
71.199 36.524 117.32 2.7 9.6 1.9 deepHinduKush
69.868 36.160 117.33 3.0 3.5 - deepHinduKush
70.167 36.226 117.34 2.8 4.5 1.9 deepHinduKush
70.876 36.320 117.38 3.7 5.2 1.9 deepHinduKush
71.064 36.304 117.40 2.4 6.2 1.9 deepHinduKush
72.274 37.982 117.43 2.5 7.6 - deepPamir
71.752 37.130 117.45 2.8 2.7 1.9 deepPamir
71.024 36.373 117.46 2.9 6.0 1.9 deepHinduKush
70.897 36.419 117.48 2.7 3.3 1.9 deepHinduKush
73.903 38.421 117.49 2.2 4.9 1.9 deepPamir
72.101 37.492 117.55 2.9 3.8 1.9 deepPamir
72.610 37.972 117.56 3.0 9.0 - deepPamir
72.276 37.858 117.58 2.3 4.0 - deepPamir
71.579 36.842 117.59 2.7 3.8 1.9 deepPamir
71.668 37.014 117.60 2.9 6.0 1.9 deepPamir
75.278 38.266 117.64 2.6 4.2 - deepPamir
71.703 37.310 117.66 3.2 2.4 1.9 deepPamir
71.037 36.381 117.67 3.4 3.8 1.9 deepHinduKush
75.107 38.201 117.68 4.5 4.4 - deepPamir
71.074 36.418 117.70 3.3 8.9 1.9 deepHinduKush
70.051 36.204 117.72 3.1 13.9 - deepHinduKush
72.167 37.719 117.72 2.5 3.5 1.9 deepPamir
73.067 38.289 117.72 3.2 2.1 1.9 deepPamir
70.852 36.337 117.73 2.8 4.1 1.9 deepHinduKush
72.222 37.697 117.81 2.6 3.2 1.9 deepPamir
73.443 38.444 117.82 2.5 4.0 1.9 deepPamir
71.293 36.497 117.83 2.7 3.9 1.9 deepHinduKush
71.979 37.486 117.86 2.9 5.4 - deepPamir
70.860 36.269 117.88 2.8 7.1 1.9 deepHinduKush
71.700 37.253 117.89 2.4 4.3 1.9 deepPamir
72.666 38.087 117.91 2.3 3.7 1.9 deepPamir
71.667 37.239 117.92 2.3 3.6 1.9 deepPamir
72.506 37.987 117.92 4.0 4.2 1.9 deepPamir
69.500 36.207 117.93 4.6 4.9 1.9 deepHinduKush
72.157 37.732 117.97 3.4 2.9 1.9 deepPamir
71.342 36.336 117.98 5.2 4.8 1.9 deepHinduKush
71.434 36.500 118.06 3.4 11.3 1.9 deepHinduKush
70.157 35.961 118.09 3.2 10.4 - deepHinduKush
71.811 37.349 118.13 2.5 3.8 1.9 deepPamir
72.245 37.119 118.18 3.8 13.7 - deepPamir
70.820 36.377 118.22 3.3 2.7 1.9 deepHinduKush
71.774 37.120 118.24 2.4 3.2 1.9 deepPamir
70.741 36.352 118.28 2.9 6.6 1.9 deepHinduKush
72.151 37.458 118.30 2.3 5.5 1.9 deepPamir
72.643 38.087 118.30 2.8 2.5 1.9 deepPamir
71.211 36.515 118.32 3.5 5.3 1.9 deepHinduKush
71.661 37.224 118.34 2.6 4.1 1.9 deepPamir
